void sub_805DF0(HANDLE ProcessHandle, PVOID *BaseAddress, PSIZE_T RegionSize, ULONG NewProtect, PULONG OldProtect)
{
  unsigned __int64 **v6; // r15
        if ( (unsigned int)__ROL4__(0x4E1FA053, 0x15) < 0x7FFE02C4uLL )
          v262 = v261;
        ((void (__fastcall *)(unsigned __int64))((char *)&loc_11A6318 + (__int16)v319 + 4))(
          0x7F97068D * (v254 & 0xFFFFFFFF7DF729F1uLL & v257.m128i_i64[0])
        + v262
        + 0xAAD0CF6D * (v254 ^ 0xFFFFFFFFBDF72B1FuLL)
        + 0xC00002EE * _mm_or_si128((__m128i)(v254 ^ 0xFFFFFFFF7DF729F1uLL), v257).m128i_u64[0]
        + 0xAAD0CF6D * _mm_andnot_si128((__m128i)0xC00002EEuLL, (__m128i)(~v254 & 0x8208D60ELL)).m128i_u64[0]
        + _mm_add_epi64((__m128i)v260, v263).m128i_u64[0]);
        if ( v264
          && (((void (__fastcall *)(unsigned __int64))((char *)&unk_11AEE51 + 0xFFFF06DF))(0xFFFFFFFFD4C63720uLL), v265) )
        {
          v6 = v332;
          NewProtect = v326;
          v15 = OldProtect;
          v13 = v334;
        }
        else
        {
          ((void (__fastcall *)(unsigned __int64))((char *)&loc_11A327D + 0xFFFFC2B3))(
            0xF50B2F4D * ((unsigned int)v345 ^ 0xC00002EELL)
          + 0x4B1176F1 * ((~v258 & ((unsigned int)v345 ^ v259)) - (~v258 | (unsigned int)v345 ^ v259))
          + 0xFFFFFFFF362E9993uLL * ((unsigned int)v345 ^ 0xC00002EELL)
          + 0x764B3FD1 * ~_mm_xor_si128((__m128i)(unsigned int)v345, (__m128i)0xC00002EEuLL).m128i_u64[0]);
          v6 = v332;
          NewProtect = v326;
          v15 = OldProtect;
          v13 = v334;
          if ( !v266 )
            return;
        }
      }
LABEL_13:
      v31 = v14;
LABEL_14:
      v32 = __readeflags();
      __writeeflags(v32 & 0xFFFFFFFFFFFFFEFFuLL);
      LODWORD(v306) = 0xF4EFC7FE;
      v33 = NewProtect;
      if ( (unsigned int)__ROL4__(0xB00000BB, 2) <= 0xBA78085BuLL )
        NewProtect = 0x48F8A2AD;
      else
        NewProtect = 0x351F3263;
      v38 = (unsigned __int64)v312 ^ _mm_xor_si128(
                                       (__m128i)(unsigned __int64)__ROL8__(v312, 0x37),
                                       (__m128i)(unsigned __int64)__ROL8__(v312, 0x20)).m128i_u64[0];
      ((void (__fastcall *)(_QWORD, unsigned __int64))((char *)&loc_B9EC61 + (__int16)__ROR2__(0x5AF4, NewProtect) + 1))(
        __ROL8__(v15, 0x17),
        ~(v38 ^ __ROL8__(v38, 0x32) ^ __ROL8__(v38, 0xC)));
      LODWORD(v336) = v41 - 0x4FE0EB28;
      LODWORD(v306) = 0xE44AC558;
      v303 = NewProtect;
      if ( v41 - 0x4FE0EB28 < 0
        || !v13
        || (LOWORD(v40) = 0xF5E6,
            LOBYTE(v33) = (v33 & 0xF0) != 0,
            (unsigned __int8)v33 | ((unsigned __int8 (__fastcall *)(__int64, __int64, unsigned __int64))((char *)&loc_B83F95 + (__int16)(NewProtect + 0x4DB6) + 2))(
                                     v40,
                                     v39,
                                     0xFFFFFFFFF6D0F7D2uLL) ^ 1) )
      {
LABEL_104:
        LODWORD(v306) = 0xBF8CAA4;
        return;
      }
      v43 = __readeflags();
      __writeeflags(v43 & 0xFFFFFFFFFFFFFEFFuLL);
      v44 = (((v31 + 8) & 0xFFF) + 8) & 0xFFF;
      LODWORD(v306) = 0x584CAA4;
      v45 = NewProtect;
      v46 = (char *)&unk_16B3C26 + __ROL4__(0x5FFFE251, NewProtect) - 0x1A23;
      if ( v46 != (char *)0xD54449066AE571F9LL )
      {
        v47 = (int)__ROL4__(NewProtect ^ 0x8AA3F969, 5);
        v326 = v44;
        if ( ~(v47 ^ (unsigned int)__ROL4__(0x495F1395, NewProtect)) == 0xFFFFFFFF928FAD8CuLL )
        {
          LOWORD(v42) = 0xFA31;
          v48 = &v46[(unsigned __int16)(v47 ^ _mm_cvtsi128_si32(
                                                _mm_sub_epi16(
                                                  _mm_cvtsi32_si128(0xFFFFE8ED * v42),
                                                  _mm_cvtsi32_si128(NewProtect))))];
          v49 = (unsigned __int16)((0x4B51 * ~(0xA0D8 - v47 - 0x1B33)) & (unsigned __int16)v46);
          if ( ~(0xF853AFC0 * ((unsigned int)v47 | 1)) > (__int64)((NewProtect ^ _mm_cvtsi128_si32(
                                                                                   _mm_sub_epi32(
                                                                                     _mm_cvtsi32_si128(0x2A783EDu),
                                                                                     _mm_cvtsi32_si128(v47))))
                                                                 + 0x4BFD2694) )
            v49 = (unsigned __int64)v48;
          v45 = NewProtect;
          v50 = (unsigned int)__ROR4__(~(0xA25BDDD7 * (0xE7050B35 - v47)), NewProtect);
        }
        else
        {
          v49 = (unsigned __int64)(v46 + 0x1A23);
          v50 = 0x1FECBAB0LL;
        }
        v323 = v49;
        LODWORD(v334) = 0xDD525D9C;
        v70 = *(_QWORD *)v49;
        v71 = *(_QWORD *)(v49 + 8);
        v72 = (unsigned int)*(_QWORD *)v49 >> 0xC;
        v319 = (unsigned int)*(_QWORD *)v49 >> 0x12;
        v318 = v70 >> 0x2A;
        v73 = v45 | 1;
        v321 = (unsigned int)(v50 + 0x58D5E87A);
        v317 = (v70 >> 0x26) & 0x3000;
        v314 = v72 & 0x30;
        LODWORD(v343) = (unsigned int)v70 >> 0x17;
        v322 = v71 << 9;
        v74 = v71 >> 0x16;
        v328 = v71 >> 0x13;
        v313 = HIDWORD(v71);
        v342 = (v71 >> 0xA) & 0x400000;
        v345 = (unsigned int)qword_30000 & ((_DWORD)v71 << 9);
        LODWORD(v324) = (unsigned int)v71 >> 3;
        v75 = v71;
        v329.m128i_i64[0] = v71;
        v71 >>= 0x15;
        v76 = v71 & 0x2000000;
        v77 = v71 | 0x2000000;
        v311 = v75 & 0x20000;
        if ( (v45 ^ __ROL4__(0x38A9A027, 7)) >= (unsigned __int64)(__ROL4__(0xB237D93A, 5) - v45) )
          v77 = v76;
        v331 = v77;
        v339 = 0x6F4CE0A3 - v45;
        v329.m128i_i64[1] = 0x95BBBDCF - v45;
        v78 = __ROL4__(0x1A083800, 5);
        v341 = ((_DWORD)v50 - 0x3DC6E4D1) ^ 0xC113C537;
        v316 = (unsigned int)__ROL4__(__ROL4__(0xD5039B58, 0xA), v50);
        LODWORD(v333) = v45 | 1;
        v79 = __ROL4__(v73 * v334, 0x1E);
        v334 = v50;
        v80 = (unsigned int)(__ROL4__(0x89384A52, v50) - 0x4485C9FA);
        v344 = v80;
        v320 = (void (__fastcall *)(unsigned __int64, __int64, unsigned __int64))((char *)&loc_935A72
                                                                                + ~(0x514F85D4 * v73 - 0x128F8DFA)
                                                                                + 1);
        v305 = (unsigned int)__ROL4__(0x43075009, v50);
        v81 = *(_QWORD *)(v323 + 0x10);
        v313 = __ROL4__(0x8000000, v45) & (unsigned int)v313;
        v323 = (v81 >> 2) & 0x40000000000LL | (v81 << 6) & 0x20000000000LL | (v81 << 7) & 0x10000000000LL | (v81 >> 3) & 0x80000000000LL;
        v82 = ((unsigned __int64)v329.m128i_i64[0] >> 0x17) & 0x18000000;
        v339 = (unsigned int)__ROL4__(v339, 0x12);
        LODWORD(v343) = v343 & 0x80;
        v83 = ((unsigned __int64)v329.m128i_i64[0] >> 0x1E) & 0x20000000;
        v84 = v322 - 0x30000;
        v335 = ((unsigned int)v70 >> 9) & 1;
        v328 &= 0x1000000u;
        v85 = (v329.m128i_i8[0] & 0x10) << 0xB;
        v86 = v74 & 0x4000000;
        v318 &= 0x4000u;
        v87 = ((unsigned __int64)v329.m128i_i64[0] >> 0xD) & 0x800000;
        v329.m128i_i64[0] = (unsigned int)&unk_300000 & ((unsigned __int32)v329.m128i_i32[0] >> 6);
        v319 &= 0x40u;
        v337 = (unsigned __int64)((unsigned int)&word_10000 & (unsigned int)v81) << 0x12;
        v88 = (v81 & 0x2000000) << 0xE;
        v327 = v81 << 0x35;
        v89 = (v81 & 0x1C0000) << 0x11;
        LODWORD(v324) = v324 & 0x80000;
        if ( ~v79 < v305 )
          v84 = v345;
        v322 = v84;
        v90 = 0;
        v91 = _mm_cvtsi32_si128(v87);
        if ( (unsigned int)~v78 >= v341 )
          v90 = v83;
        v92 = _mm_or_si128(_mm_cvtsi32_si128(v342 + v329.m128i_i32[0] + v324 + (v85 | (v343 + v319 + 2 * v311))), v91).m128i_u64[0] | v318 | v317 | v314 | ((unsigned int)v70 >> 0xB) & 0xE | v335 | (v70 >> 0x1C) & 0xC00 | (v70 >> 0x19) & 0x300 | v82 | v328 | v86;
        v93 = (v81 & 0x38) << 0x1C;
        v94 = (v81 & 0x800000) << 0xF;
        v95 = _mm_cvtsi32_si128(v90);
        if ( v321 < v80 )
          v94 = v327;
        v96 = _mm_or_si128((__m128i)v92, v95).m128i_u64[0] | v313 | v89 | v337 | v93 | v331 | v322 | v94;
        v97 = v96 + v88;
        v98 = v88 | v96;
        if ( v339 < v329.m128i_i64[1] )
          v98 = v97;
        LOWORD(v99) = v326;
        v314 = 0x10 * (v323 | v98);
        v342 = v314;
        v320(
          v316
        + _mm_xor_si128(
            (__m128i)(unsigned __int64)(__ROL8__(v314, 0x13) ^ __ROL8__(v314, 0x36)),
            (__m128i)(unsigned __int64)v314).m128i_u64[0],
          v314 & ~v344,
          0xFFFFFFFFA38E20FEuLL * (v314 | ~v344)
        + 0xE5125DDE * (v344 ^ v314)
        - 0xE5125DDE * (v314 & ~v344)
        - 0x141843CE0LL * (v344 & ~v314));
        LODWORD(v306) = 0xF7F7C7FE;
        v100 = v334;
        v101 = (__int64)*v312;
        LODWORD(v321) = v334 | 1;
        v102 = v101 & 0xFFFFFFFFFFFFF000uLL;
        v103 = *v315 + 0xFFF;
        if ( (int)__ROL4__(v334 - 0x6A4D03D0, 0xE) < (unsigned __int64)(int)__ROL4__(0x5F4ACF1D, v334) )
          v103 = *v315 ^ 0xFFF;
        LODWORD(v306) = 0x7286F0B4;
        v331 = (v101 + v103) & 0xFFFFFFFFFFFFF000uLL;
        if ( v102 < v331 )
        {
          v329.m128i_i64[1] = v314 + 0x18;
          do
          {
            v99 = ((_WORD)v99 + 8) & 0xFFF;
            LODWORD(v306) = 0xFDE7C7FE;
            v324 = v102 >> 0xC;
            v104 = (*(_QWORD *)(v314 + 0x10) * (v102 >> 0xC)) ^ ((*(unsigned __int64 *)(v314 + 0x10)
                                                                * (unsigned __int128)(v102 >> 0xC)) >> 0x40);
            v105 = 8
                 * (((unsigned __int8)(*(_QWORD *)(v314 + 0x10) * (v102 >> 0xC)) ^ (unsigned __int8)((*(unsigned __int64 *)(v314 + 0x10) * (unsigned __int128)(v102 >> 0xC)) >> 0x40)) & 0x7Fu);
            LODWORD(v306) = 0xD26382E6;
            if ( !*(_QWORD *)(v314 + v105 + 0x18) )
              goto LABEL_80;
            v317 = v102;
            v106 = (_QWORD **)(v329.m128i_i64[1] + v105);
            v107 = v104 >> 7;
            v108 = v303;
            while ( 1 )
            {
              v326 = v99;
              v329.m128i_i64[0] = v107;
              v300 = v106;
              if ( (unsigned int)__ROL4__(~(v100 - 0x3A310DCA), 0xA) < (unsigned __int64)(0x78AA6F3B
                                                                                        * ~(v100 - 0xC5ADF7C)) )
              {
                v110 = 0x94C704A5;
                LODWORD(v306) = 0x8D3EF0B4;
                v109 = *v106;
              }
              else
              {
                v109 = *v106;
                v110 = 0x3C6BD29E;
                LODWORD(v306) = 0x8D3EF0B4;
              }
              v318 = 0xBB10FC91LL;
              v343 = (__int64)v109;
              v111 = *v109;
              v319 = (unsigned int)*v109;
              v313 = v110 ^ 0x4BD71B77;
              LODWORD(v339) = (unsigned int)&loc_100000 & (v111 >> 0x14) | ((unsigned int)v111 >> 0xF) & 0xC00 | ((unsigned int)v319 >> 0xD) & 0x200;
              v328 = 0xB4E5A172LL;
              v112 = v110 - 0x5683C4CB + 0x6C3F4196;
              v322 = __ROL4__(0x449F3263 - v108, 0x18) & (unsigned int)(v111 >> 0x12);
              v113 = (v111 >> 0x19) & 0xE0000000 | (v111 >> 0x18) & 0x1C000000 | (v111 >> 0x1B) & 0x700000000LL;
              v114 = v111;
              LOWORD(v115) = v111 + 0x7FF0;
              v116 = v111;
              v117 = v111;
              v118 = v111;
              v119 = ((unsigned int)v111 >> 0xB) & 0x80 | ((unsigned int)v111 >> 0xA) & 0x60 | ((unsigned int)v111 >> 6) & 0x18 | ((unsigned int)v111 >> 5) & 4;
              v114 >>= 3;
              v120 = v114 ^ 3;
              v121 = (v116 >> 0x17) & 0x3000000;
              v122 = v114 & 3;
              v123 = (v118 >> 0xC) & 0x100;
              v318 = (0xBB10FC91 * (_DWORD)v333) ^ 0x946A07F5;
              v124 = __ROL4__(v313, 6);
              v125 = _mm_cvtsi32_si128((unsigned int)&unk_E00000 & (unsigned int)(v117 >> 0x16));
              v126 = _mm_cvtsi32_si128(v339);
              if ( (unsigned int)(v112 - 0x500A11D9) > (unsigned __int64)(unsigned int)(__ROL4__(
                                                                                          v334 + 0x4BAC1456,
                                                                                          0x1B)
                                                                                      - 0x5CDA154) )
                v115 = WORD1(v319);
              v127 = _mm_or_si128(v126, v125).m128i_u64[0] | v322 | v115 & 0x7000;
              if ( (~(0x51B321EA * (_DWORD)v333) ^ 0x96DE700C) != (unsigned __int64)(unsigned int)~(_DWORD)v328 )
                v122 = v120;
              v128 = (unsigned int)v122 & (unsigned int)v123;
              v129 = v119 | v123 | v122;
              if ( v318 >= (unsigned int)(v321 * ((_DWORD)&loc_B9A093 - 0x32D9B93A) - 0xCB4F8C1) )
                v128 = v129;
              v130 = v127 | v128;
              v131 = (__m128i)(unsigned __int64)v121;
              v132 = v130 | v121;
              v133 = _mm_and_si128((__m128i)v130, v131).m128i_u64[0];
              if ( v124 != 0xAABE2B8LL )
                v133 = v132;
              if ( (v113 | v133) == v324 )
                break;
              v99 = ((_WORD)v326 + 0x10) & 0xFFF;
              v134 = v329.m128i_i8[0] & 1;
              LODWORD(v306) = 0x102102A6;
              v135 = *(__int64 *)(v343 + 8 * v134 + 8) < 0;
              if ( ~(v303 ^ 0x3693B898) > (unsigned __int64)(0x5F61DB1B * (v303 ^ 0xAEEDB32B)) )
                v135 = *(_QWORD *)(v343 + 8 * v134 + 8) == 0LL;
              v136 = !v135;
              v108 = v303;
              if ( !v136 )
              {
                v100 = v334;
                v102 = v317;
                goto LABEL_80;
              }
              v106 = (_QWORD **)(v343 + 8 * v134 + 8);
              v107 = (unsigned __int32)v329.m128i_i32[0] >> 1;
              v100 = v334;
            }
            LOWORD(v99) = (v326 + 0x10) & 0xFFF;
            v137 = *v300;
            v102 = v317;
            if ( (*v300)[1] || v137[2] )
            {
              *v137 = 0LL;
              v100 = v334;
            }
            else
            {
              v100 = v334;
              ((void (__fastcall *)(_QWORD *, __int64))((char *)&loc_11A5CE6 + (__int16)__ROL2__(0x77D1 - v334, 3) + 1))(
                v137,
                0x18LL);
              v102 = v317;
              *v300 = 0LL;
            }
LABEL_80:
            LODWORD(v306) = 0x8F0CAA4;
            v102 += 0x1000LL;
          }
          while ( v102 < v331 );
        }
        v138 = __readeflags();
        __writeeflags(v138 & 0xFFFFFFFFFFFFFEFFuLL);
        LODWORD(v306) = 0xF563C7FE;
        ((void (*)(void))((char *)&loc_512E19 - 43033))();
        goto LABEL_104;
      }
      v25 = v33 + 0x18;
    }
  }
  LODWORD(v306) = 0xF6FFC7FE;
  if ( !v19 || (v26 = v19 + *(unsigned int *)(v19 + 0x3C)) == 0 )
  {
LABEL_122:
    LODWORD(v306) = 0x964CAA4;
    v182 = v326;
    goto LABEL_123;
  }
  v27 = v14 + 0x18;
  v28 = *(unsigned __int16 *)(v26 + 6);
  if ( !*(_WORD *)(v26 + 6) )
  {
    LOWORD(v25) = v14 + 0x18;
    goto LABEL_122;
  }
  v29 = _mm_add_epi64(_mm_cvtsi32_si128(*(unsigned __int16 *)(v26 + 0x14)), (__m128i)(v26 + 0x18)).m128i_u64[0];
  v30 = v29 + 0x28 * v28;
  while ( 1 )
  {
    LOWORD(v25) = (v27 + 8) & 0xFFF;
    v34 = *(unsigned __int64 **)v29;
    LOBYTE(v307) = 0;
    v306 = v34;
    if ( (_BYTE)v34 )
      break;
    v27 = (v27 + 0x10) & 0xFFF;
    LOWORD(v25) = v27;
LABEL_17:
    v29 += 0x28LL;
    if ( v29 >= v30 )
      goto LABEL_122;
  }
  v35 = (char *)&v306 + 1;
  v36 = 0x3E6FE7F65B66607BLL;
  while ( 1 )
  {
    v37 = v36 ^ (unsigned __int8)v34;
    LOBYTE(v34) = *v35;
    v36 = 0x10000000291LL * v37;
    LOWORD(v25) = (v25 + 8) & 0xFFF;
    if ( !*v35 )
      break;
    ++v35;
  }
  if ( 0xCAB240C8F2BE8CB9uLL * v37 != 0xBE714D39B7EAD5B1uLL )
  {
    v27 = v25;
    goto LABEL_17;
  }
  if ( (unsigned int)__ROL4__(v36 - 0x3D129C15 + 0x6BBC827B, 0x17) > (__int64)_mm_cvtsi128_si32(
                                                                                _mm_xor_si128(
                                                                                  _mm_cvtsi32_si128(0x77DDE13u),
                                                                                  _mm_cvtsi32_si128(v36))) )
    LODWORD(v306) = 0xF4EFC7FE;
  else
    LODWORD(v306) = 0xA6663B28;
  v182 = v326;
  v199 = v19 + *(unsigned int *)(v29 + 0xC);
  LODWORD(v306) = 0xD16382E6;
  v200 = *(unsigned int *)(v29 + 8);
  v201 = *(_DWORD *)(v29 + 0x10);
  if ( v201 > (unsigned int)v200 )
    v200 = v201;
  LODWORD(v306) = 0xD26382E6;
  if ( v325 < v199 + v200 && v340 >= v199 )
    goto LABEL_147;
  LODWORD(v306) = 0x140102A6;
LABEL_123:
  LODWORD(v306) = 0xF6FFC7FE;
  HIWORD(v183) = 0xF6FF;
  if ( v19
    && (v184 = (v25 + 8) & 0xFFF, (v185 = v19 + *(unsigned int *)(v19 + 0x3C)) != 0)
    && (LOWORD(v183) = 0x4B5E,
        v186 = *(unsigned __int16 *)(v185 + 6),
        _mm_extract_epi16(_mm_xor_si128(_mm_cvtsi32_si128(v186), _mm_cvtsi32_si128(v183)), 0) != 0x4B5E) )
  {
    v187 = v185 + *(unsigned __int16 *)(v185 + 0x14);
    v188 = v187 + 0x18;
    while ( 1 )
    {
      v189 = *(unsigned __int64 **)v188;
      v306 = v189;
      LOBYTE(v307) = 0;
      if ( (_BYTE)v189 )
      {
        v190 = (char *)&v306 + 1;
        v191 = 0x3E6FE7F65B66607BLL;
        do
        {
          v191 = 0x10000000291LL * ((unsigned __int8)v189 ^ (unsigned __int64)v191);
          LOBYTE(v189) = *v190++;
        }
        while ( (_BYTE)v189 );
        v184 = (v184 + 8) & 0xFFF;
        if ( v191 == 0xCF120D3BDC269CEDuLL )
          break;
      }
      v188 += 0x28LL;
      v184 = (v184 + 8) & 0xFFF;
      if ( v188 >= v187 + 0x28 * v186 + 0x18 )
        goto LABEL_228;
    }
    LODWORD(v306) = 0xF4EFC7FE;
    v192 = *(unsigned int *)(v188 + 0xC) + v19;
    LODWORD(v306) = 0xD16382E6;
    v193 = *(unsigned int *)(v188 + 8);
    v194 = *(_DWORD *)(v188 + 0x10);
    if ( v194 > (unsigned int)v193 )
      v193 = v194;
    LODWORD(v306) = 0xD26382E6;
    if ( v325 >= v192 + v193 || v340 < v192 )
    {
      LODWORD(v306) = 0x140102A6;
      goto LABEL_229;
    }
LABEL_147:
    LODWORD(v306) = 0xFDE7C7FE;
    if ( v182 < 4 )
    {
      if ( v182 == 2 )
        goto LABEL_152;
LABEL_149:
      LODWORD(v306) = 0xD8E382E6;
    }
    else
    {
      if ( v182 != 4 )
        goto LABEL_149;
LABEL_152:
      LODWORD(v306) = 0x102102A6;
    }
  }
  else
  {
LABEL_228:
    LODWORD(v306) = 0x964CAA4;
LABEL_229:
    LODWORD(v306) = 0x13B4CAA4;
  }
}
